time,total_queue,total_waiting_time,congestion_state,e2_N_0,e2_N_1,e2_S_0,e2_S_1,e2_E_0,e2_E_1,e2_W_0,e2_W_1
3.0,0,0.0,0,0,0,0,0,0,0,0,0
6.0,1,0.0,0,0,0,0,0,1,0,0,0
9.0,2,0.0,0,0,0,0,0,2,0,0,0
12.0,3,0.0,1,0,0,0,0,1,1,1,0
15.0,2,0.0,0,0,0,0,0,0,1,1,0
18.0,3,0.0,1,1,0,0,0,0,0,2,0
21.0,2,0.0,0,0,1,0,0,0,0,0,1
24.0,2,0.0,0,0,1,0,0,0,0,0,1
27.0,0,0.0,0,0,0,0,0,0,0,0,0
30.0,1,2.0,0,0,0,0,0,0,0,1,0
33.0,1,5.0,0,0,0,0,0,0,0,1,0
36.0,2,8.0,0,0,0,0,0,1,0,1,0
39.0,1,14.0,0,0,0,0,0,0,1,0,0
42.0,2,20.0,0,0,0,0,0,1,1,0,0
45.0,3,26.0,1,1,0,0,0,1,0,1,0
48.0,5,32.0,1,0,1,0,0,2,0,2,0
51.0,4,41.0,1,0,1,0,0,1,0,2,0
54.0,2,51.0,0,0,0,0,0,1,0,1,0
57.0,2,63.0,0,1,0,0,0,0,0,1,0
60.0,4,75.0,1,1,0,0,0,1,0,1,1
63.0,4,89.0,1,1,0,0,0,0,1,0,2
66.0,2,109.0,0,0,0,0,0,0,1,0,1
69.0,0,32.0,0,0,0,0,0,0,0,0,0
72.0,1,37.0,0,0,0,1,0,0,0,0,0
75.0,3,49.0,1,1,0,0,1,0,0,1,0
78.0,4,62.0,1,0,1,0,1,1,0,0,1
81.0,4,77.0,1,0,1,0,0,0,1,1,1
84.0,4,92.0,1,1,0,0,0,1,1,1,0
87.0,5,107.0,1,2,0,0,0,2,0,1,0
90.0,6,122.0,1,2,1,1,0,2,0,0,0
93.0,6,139.0,1,2,1,0,1,2,0,0,0
96.0,5,163.0,1,2,1,0,1,1,0,0,0
99.0,3,187.0,1,1,1,0,0,1,0,0,0
102.0,1,204.0,0,1,0,0,0,0,0,0,0
105.0,1,232.0,0,0,0,0,0,0,0,1,0
108.0,1,265.0,0,0,0,0,0,0,0,0,1
111.0,3,303.0,1,1,0,0,0,1,0,0,1
114.0,2,348.0,0,1,0,0,0,0,1,0,0
117.0,5,393.0,1,2,0,1,0,1,1,0,0
120.0,4,438.0,1,0,1,1,0,2,0,0,0
123.0,6,485.0,1,1,0,1,0,2,1,1,0
126.0,5,534.0,1,1,1,0,0,1,1,1,0
129.0,5,587.0,1,0,2,0,0,1,0,2,0
132.0,3,641.0,1,0,1,0,0,0,0,1,1
135.0,2,339.0,0,0,0,0,0,0,0,0,2
138.0,1,304.0,0,0,0,0,0,0,0,0,1
141.0,2,337.0,0,0,0,0,0,1,0,1,0
144.0,4,376.0,1,1,0,0,0,0,1,1,1
147.0,6,415.0,1,1,0,1,0,0,1,1,2
150.0,5,459.0,1,1,0,0,1,1,0,1,1
153.0,5,504.0,1,0,0,0,1,2,0,2,0
156.0,3,549.0,1,0,0,0,0,1,1,0,1
159.0,5,595.0,1,0,0,1,0,1,1,1,1
162.0,4,647.0,1,1,0,0,1,0,1,1,0
165.0,5,701.0,1,0,1,0,1,0,1,2,0
168.0,4,341.0,1,0,1,1,0,1,0,0,1
171.0,4,168.0,1,0,0,0,1,1,0,1,1
174.0,4,200.0,1,1,0,0,1,1,0,0,1
177.0,4,236.0,1,0,1,0,0,1,0,1,1
180.0,4,279.0,1,0,1,0,0,0,1,2,0
183.0,4,324.0,1,0,0,0,0,0,1,2,1
186.0,3,373.0,1,0,0,0,0,0,0,0,3
189.0,3,427.0,1,0,0,0,0,0,0,0,3
192.0,5,481.0,1,1,0,1,0,0,0,1,2
195.0,5,544.0,1,0,1,0,1,0,0,2,1
198.0,5,610.0,1,0,1,1,1,0,0,2,0
201.0,4,370.0,1,0,0,2,0,0,0,2,0
204.0,5,285.0,1,1,0,2,1,0,0,1,0
207.0,6,276.0,1,2,0,0,2,0,0,2,0
210.0,6,271.0,1,2,1,0,1,0,0,0,2
213.0,7,292.0,1,1,2,0,0,1,0,1,2
216.0,7,323.0,1,0,2,1,0,0,1,2,1
219.0,9,358.0,1,1,1,1,1,1,1,2,1
222.0,9,397.0,1,1,1,0,2,2,0,2,1
225.0,10,439.0,1,0,2,1,1,3,0,3,0
228.0,8,485.0,1,0,1,1,1,2,0,2,1
231.0,7,539.0,1,0,0,1,2,2,0,0,2
234.0,5,403.0,1,0,0,1,1,1,0,1,1
237.0,5,394.0,1,0,0,2,0,1,0,1,1
